price,price_per_sq_m,sq_meter,location,type_of_property
84900.0,997.65,42.5,"Uhoľná, Žilina, okres Žilina",1 izbový byt
246000.0,287.73,107.53,"Cesta k vodojemu, Žilina - Budatín, okres Žilina",3 izbový byt
246000.0,277.36,108.02,"Cesta k vodojemu, Žilina - Budatín, okres Žilina",3 izbový byt
135000.0,537.59,53.2,"Dobšinského, Žilina - Vlčince, okres Žilina",2 izbový byt
178000.0,162.82,82.3,"Ľubľanská, Žilina - Vlčince, okres Žilina",3 izbový byt
175000.0,243.59,78.0,"Oslobodenia, Žilina, okres Žilina",3 izbový byt
187000.0,308.64,81.0,"Oslobodenia, Žilina, okres Žilina",4 izbový byt
132500.0,453.7,54.0,"Daniela Dlabača, Žilina - Staré mesto, okres Žilina",2 izbový byt
142500.0,159.09,66.0,"Daniela Dlabača, Žilina - Staré mesto, okres Žilina",2 izbový byt
290000.0,959.18,98.0,"Dolná Trnovská, Žilina - Trnové, okres Žilina",4 izbový byt
229000.0,764.37,82.84,"Kvačalova, Žilina - Závodie, okres Žilina",3 izbový byt
179990.0,222.1,81.0,"Za plavárňou, Žilina, okres Žilina",2 izbový byt
189990.0,345.56,81.0,"Dobšinského, Žilina - Vlčince, okres Žilina",4 izbový byt
229000.0,764.37,82.84,"Kvačalova, Žilina - Závodie, okres Žilina",3 izbový byt
246000.0,287.73,107.53,"Cesta k vodojemu, Žilina - Budatín, okres Žilina",3 izbový byt
79999.0,84.3,102.0,"Dlhé Pole, okres Žilina",3 izbový byt
235344.0,800.16,61.93,"Daniela Dlabača, Žilina - Staré mesto, okres Žilina",2 izbový byt
115000.0,300.0,50.0,"Žilina - Hájik, okres Žilina",2 izbový byt
128940.0,500.0,36.84,"Daniela Dlabača, Žilina - Staré mesto, okres Žilina",1 izbový byt
107000.0,57.14,35.0,"Bajzova, Žilina - Hliny, okres Žilina",2 izbový byt
107000.0,57.14,35.0,"Bajzova, Žilina, okres Žilina",1 izbový byt
261000.0,346.15,78.0,"Rajecké Teplice, okres Žilina",3 izbový byt
288000.0,742.86,105.0,"Žilina - Hliny, okres Žilina",3 izbový byt
95000.0,318.18,22.0,"Bulvár, Žilina - Hliny, okres Žilina",Garsónka
185000.0,803.03,66.0,"Žilina - Bôrik, okres Žilina",3 izbový byt
215000.0,239.58,96.0,"Žilina - Solinky, okres Žilina",5 a viac izbový byt
185000.0,228.92,83.0,"Žilina - Hliny, okres Žilina",3 izbový byt
133000.0,892.43,70.28,"Mudrochova, Rajec, okres Žilina",3 izbový byt
115000.0,593.75,32.0,"M.R. Štefánika, Žilina, okres Žilina",1 izbový byt
,,,"Trnavská, Žilina, okres Žilina",1 izbový b
,,,"Hečkova, Žilina, okres Žilina",4 izbový b
,,,"Štefánikovo námestie, Žilina, okres Žilina",2 izbový b
142900.0,574.77,55.5,"Závodská cesta, Žilina, okres Žilina",3 izbový byt
,,17.0,"Rajec, okres Žilina",Garsónka
,,,"Smreková, Žilina, okres Žilina",3 izbový b
,,,"Černovská, Žilina, okres Žilina",2 izbový b
199999.0,497.49,80.08,"Legionárska, Žilina, okres Žilina",2 izbový byt
160000.0,18.87,53.0,"Mateja Bela, Žilina, okres Žilina",2 izbový byt
,,,"Smreková, Žilina, okres Žilina",2 izbový b
,,,"Ružová 32, Žilina, okres Žilina",3 izbový b
,,,"Dobšinského, Žilina, okres Žilina",1 izbový b
,,,"Jarná, Žilina, okres Žilina",3 izbový b
144900.0,498.28,58.0,"širšie centrum, Žilina - Staré mesto, okres Žilina",2 izbový byt
139900.0,331.67,60.0,"Zvolenská, Žilina - Vlčince, okres Žilina",2 izbový byt
129900.0,651.02,49.0,"Limbová, Žilina, okres Žilina",2 izbový byt
305000.0,877.36,106.0,"Trenčianska, Žilina - Vlčince, okres Žilina",4 izbový byt
148000.0,114.29,70.0,"Žilina - Hájik, okres Žilina",3 izbový byt
,,80.0,"Divina, okres Žilina",3 izbový byt
119500.0,991.67,60.0,"Žilina - Staré mesto, okres Žilina",2 izbový byt
147000.0,773.58,53.0,"Žilina - Vlčince, okres Žilina",2 izbový byt
184000.0,628.57,70.0,"Žilina - Bytčica, okres Žilina",3 izbový byt
200000.0,84.62,520.0,"Žilina - Staré mesto, okres Žilina",4 izbový byt
165000.0,12.2,82.0,"Žilina - Staré mesto, okres Žilina",2 izbový byt
115000.0,300.0,50.0,"Žilina - Hájik, okres Žilina",2 izbový byt
155000.0,867.47,83.0,"Žilina - Hájik, okres Žilina",4 izbový byt
,,162.0,"Žilina, okres Žilina",4 izbový byt
189000.0,362.5,80.0,"Žilina, okres Žilina",3 izbový byt
153000.0,961.54,78.0,"Žilina - Hájik, okres Žilina",4 izbový byt
164900.0,355.71,70.0,"Žilina - Hájik, okres Žilina",3 izbový byt
,,162.0,"Žilina, okres Žilina",4 izbový byt
99500.0,689.19,37.0,"Varín, okres Žilina",1 izbový byt
195000.0,437.5,80.0,"Žilina, okres Žilina",3 izbový byt
121900.0,257.41,54.0,"Žilina - Staré mesto, okres Žilina",2 izbový byt
,,126.0,"Žilina, okres Žilina",3 izbový byt
,,,"Jarná, Žilina, okres Žilina",3 izbový b
87000.0,450.0,,"Segnerova, Žilina, okres Žilina",2 izbový b
220900.0,562.9,62.0,"Rajecká Cesta, Žilina, okres Žilina",2 izbový byt
220900.0,562.9,62.0,"Rajecká Cesta, Rajecké Teplice, okres Žilina",2 izbový byt
175500.0,500.0,117.0,"Rajec, okres Žilina",4 izbový byt
186000.0,249.09,82.7,"Lichardova, Žilina - Hliny, okres Žilina",3 izbový byt
223000.0,322.92,96.0,"Dubová, Žilina, okres Žilina",5 a viac izbový byt
163000.0,89.74,78.0,"Žilina, okres Žilina",3 izbový byt
320175.0,651.55,120.75,"Mojš, okres Žilina",4 izbový byt
261885.0,601.94,100.65,"Mojš, okres Žilina",3 izbový byt
391400.0,624.07,108.0,"Tajovského, Žilina, okres Žilina",3 izbový byt
